id;categoria;descripcion;entidad_responsable;tiempo_respuesta;estado
1;Infraestructura Vial;Reparación de calles y avenidas;Secretaría de Infraestructura Física;15 días;Activo
2;Alumbrado Público;Mantenimiento de postes y luminarias;Secretaría de Infraestructura Física;7 días;Activo
3;Parques y Zonas Verdes;Mantenimiento de áreas recreativas;Secretaría de Infraestructura Física;10 días;Activo
4;Semáforos;Instalación y mantenimiento de señales;Secretaría de Infraestructura Física;5 días;Activo
5;Aceras y Andenes;Reparación de vías peatonales;Secretaría de Infraestructura Física;12 días;Activo
6;Drenajes;Mantenimiento de sistemas de drenaje;Secretaría de Infraestructura Física;20 días;Activo
7;Señalización;Instalación de señales de tránsito;Secretaría de Infraestructura Física;8 días;Activo
8;Ciclorrutas;Construcción y mantenimiento;Secretaría de Infraestructura Física;30 días;Activo
9;Puentes Peatonales;Mantenimiento de estructuras;Secretaría de Infraestructura Física;25 días;Activo
10;Plazas Públicas;Mantenimiento de espacios públicos;Secretaría de Infraestructura Física;15 días;Activo
